observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId	datapointId	lloq
GSH_obs		DCF_100_CTRL_timecourse	2.90297427382571	72.5	1;off_Gsh	0.0902491719984756	dataset1	1	1	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.15036419043184	72.5	1;off_Gsh	0.12748819795957	dataset1	1	7	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.97637702508071	72.5	1;off_Gsh	0.1035852396687	dataset1	1	13	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.03728372903226	73	1;off_Gsh	0.096642339773119	dataset1	1	2	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.80633394562105	73	1;off_Gsh	0.132201521102462	dataset1	1	14	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.16071327325384	74	1;off_Gsh	0.102038523481012	dataset1	1	3	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.43524002145096	74	1;off_Gsh	0.095968122834673	dataset1	1	8	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.02459438403343	74	1;off_Gsh	0.105677428180774	dataset1	1	15	-Inf
GSH_obs		DCF_100_CTRL_timecourse	5.83609183305628	77	1;off_Gsh	0.162910315884039	dataset1	1	4	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.11253503847356	77	1;off_Gsh	0.126183650399849	dataset1	1	9	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.7210805274311	77	1;off_Gsh	0.129850327867832	dataset1	1	16	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.66060056889029	82	1;off_Gsh	0.0770787193964025	dataset1	1	5	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.5289651726862	82	1;off_Gsh	0.139003674749883	dataset1	1	10	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.1802988648193	82	1;off_Gsh	0.112000360226256	dataset1	1	17	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.11868371662905	96	1;off_Gsh	0.126397843019198	dataset1	1	11	-Inf
GSH_obs		DCF_100_CTRL_timecourse	3.10457919791485	96	1;off_Gsh	0.109004714185471	dataset1	1	18	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.76685181811504	120	1;off_Gsh	0.0831364022108189	dataset1	1	6	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.68546177132284	120	1;off_Gsh	0.10890628626284	dataset1	1	12	-Inf
GSH_obs		DCF_100_CTRL_timecourse	2.59017915467221	120	1;off_Gsh	0.0840173222653096	dataset1	1	19	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.736659564331019	72	1	0.241624610864962	dataset2	1	261	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.643929093855767	72	1	0.276420311288659	dataset2	1	262	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.832840336988901	72	1	0.213720532815412	dataset2	1	263	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.809385048727739	75	1	0.323023235663697	dataset2	1	264	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.760791281705551	75	1	0.343655590731443	dataset2	1	265	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	1.44002506138825	75	1	0.181559463337258	dataset2	1	266	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.83281791135525	80	1	0.325484006526976	dataset2	1	267	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.791520773224791	80	1	0.342465946144348	dataset2	1	268	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	1.49423605976631	80	1	0.181409696763528	dataset2	1	269	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.893328336720354	96	1	0.191393148543189	dataset2	1	270	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.557719368946701	96	1	0.306564434673773	dataset2	1	271	-Inf
KEAP1_obs		DCF_100_CTRL_timecourse	0.604629343083651	96	1	0.282779731092383	dataset2	1	272	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.19357986341025	72.2	s_aKeap1P62;off_aKeap1P62	0.0652883768741555	dataset3	1	89	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.32180302583832	72.2	s_aKeap1P62;off_aKeap1P62	0.0721852085552677	dataset3	1	112	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.27764832728393	72.2	s_aKeap1P62;off_aKeap1P62	0.098004258998099	dataset3	1	135	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.15210383008058	72.2	s_aKeap1P62;off_aKeap1P62	0.0325547853655914	dataset3	1	158	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.04206661195385	74.2	s_aKeap1P62;off_aKeap1P62	0.0359568089090751	dataset3	1	90	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.00184720621523	74.2	s_aKeap1P62;off_aKeap1P62	0.0101025800925482	dataset3	1	113	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.03377834518302	74.2	s_aKeap1P62;off_aKeap1P62	0.0545238360452915	dataset3	1	136	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.05011088456077	76.2	s_aKeap1P62;off_aKeap1P62	0.0376230872158564	dataset3	1	91	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.09758785107611	76.2	s_aKeap1P62;off_aKeap1P62	0.0306653513392564	dataset3	1	114	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.30952927051811	76.2	s_aKeap1P62;off_aKeap1P62	0.103009750445746	dataset3	1	137	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.2112554713791	76.2	s_aKeap1P62;off_aKeap1P62	0.0440054675698208	dataset3	1	159	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.41958815587999	78.2	s_aKeap1P62;off_aKeap1P62	0.102214821113566	dataset3	1	92	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.2926914429479	78.2	s_aKeap1P62;off_aKeap1P62	0.0672531159963164	dataset3	1	115	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.85934301188323	78.2	s_aKeap1P62;off_aKeap1P62	0.171772235478754	dataset3	1	138	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.99404171440782	78.2	s_aKeap1P62;off_aKeap1P62	0.15292684383935	dataset3	1	160	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.57850238379287	80.2	s_aKeap1P62;off_aKeap1P62	0.124303096674714	dataset3	1	93	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.45996920924041	80.2	s_aKeap1P62;off_aKeap1P62	0.0940016090810431	dataset3	1	116	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.8719994798215	80.2	s_aKeap1P62;off_aKeap1P62	0.173045115912542	dataset3	1	139	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.67368956252051	80.2	s_aKeap1P62;off_aKeap1P62	0.116060886088353	dataset3	1	161	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.44157052369237	82.2	s_aKeap1P62;off_aKeap1P62	0.105441618999807	dataset3	1	94	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.2890746909306	82.2	s_aKeap1P62;off_aKeap1P62	0.0666316039656032	dataset3	1	117	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.72105468562199	82.2	s_aKeap1P62;off_aKeap1P62	0.157092856100888	dataset3	1	140	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.35948962649394	82.2	s_aKeap1P62;off_aKeap1P62	0.0701787380040863	dataset3	1	162	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.58823247915041	84.2	s_aKeap1P62;off_aKeap1P62	0.125567408771163	dataset3	1	95	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.32301589942975	84.2	s_aKeap1P62;off_aKeap1P62	0.0723880115510305	dataset3	1	118	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	3.0077219178553	84.2	s_aKeap1P62;off_aKeap1P62	0.186021548546712	dataset3	1	141	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.27161428903065	84.2	s_aKeap1P62;off_aKeap1P62	0.0550751182061035	dataset3	1	163	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.79137323777607	86.2	s_aKeap1P62;off_aKeap1P62	0.149950226573588	dataset3	1	96	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.25894503106859	86.2	s_aKeap1P62;off_aKeap1P62	0.0613766975830349	dataset3	1	119	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	3.24893481337163	86.2	s_aKeap1P62;off_aKeap1P62	0.20640827732492	dataset3	1	142	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.2863883092508	86.2	s_aKeap1P62;off_aKeap1P62	0.0576955979643361	dataset3	1	164	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.77524393311631	88.2	s_aKeap1P62;off_aKeap1P62	0.148144697069889	dataset3	1	97	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.29364205286549	88.2	s_aKeap1P62;off_aKeap1P62	0.0674161459740968	dataset3	1	120	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.78612919550132	88.2	s_aKeap1P62;off_aKeap1P62	0.164182070096617	dataset3	1	143	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.58115252747766	88.2	s_aKeap1P62;off_aKeap1P62	0.103708307273065	dataset3	1	165	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.98618518873096	90.2	s_aKeap1P62;off_aKeap1P62	0.170217203115439	dataset3	1	98	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.46853528588138	90.2	s_aKeap1P62;off_aKeap1P62	0.0952737913142714	dataset3	1	121	-Inf
Keap1P62_obs		DCF_100_CTRL_timecourse	2.92931943657005	90.2	s_aKeap1P62;off_aKeap1P62	0.178672161912682	dataset3	1	144	-Inf
