parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
DRUG	DRUG	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Delta_buildKeap1P62	Delta_buildKeap1P62	log	6.14e-06	162754.8	7.50481157800718	1	parameterScaleUniform	-1;1		;
Delta_buildKeap1_KO	Delta_buildKeap1_KO	log	6.14e-06	162754.8	2.7600488967648	1	parameterScaleUniform	-1;1		;
Delta_buildNrf2Base_KO	Delta_buildNrf2Base_KO	log	6.14e-06	162754.8	2.21884444769366	1	parameterScaleUniform	-1;1		;
Delta_buildP62_KO	Delta_buildP62_KO	log	6.14e-06	162754.8	1.65219584064085	1	parameterScaleUniform	-1;1		;
K_Gcl	K_Gcl	log	6.14e-06	162754.8	0.937482411806723	1	parameterScaleUniform	-1;1		;
K_Keap1	K_Keap1	log	6.14e-06	162754.8	0.805574996971259	1	parameterScaleUniform	-1;1		;
K_P62	K_P62	log	6.14e-06	162754.8	1.28809788675325	1	parameterScaleUniform	-1;1		;
K_Srxn1	K_Srxn1	log	6.14e-06	162754.8	1.1453833315949	1	parameterScaleUniform	-1;1		;
Keap1	Keap1	log	6.14e-06	162754.8	0.0046224974246753	1	parameterScaleUniform	-1;1		;
Keap1Mod	Keap1Mod	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Keap1Nrf2Mod	Keap1Nrf2Mod	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Keap1Nrf2P62	Keap1Nrf2P62	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Ko_Keap1	Ko_Keap1	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Ko_Nrf2	Ko_Nrf2	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Ko_P62	Ko_P62	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
Nrf2	Nrf2	log	6.14e-06	162754.8	0.010152176570357	1	parameterScaleUniform	-1;1		;
P62	P62	log	6.14e-06	162754.8	6.14569170424059	1	parameterScaleUniform	-1;1		;
RM	RM	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
ROS	ROS	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
ROSRM	ROSRM	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
alphaNuc	alphaNuc	log	6.14e-06	162754.8	725.056391370653	1	parameterScaleUniform	-1;1		;
buildGcl	buildGcl	log	6.14e-06	162754.8	539.653969547936	1	parameterScaleUniform	-1;1		;
buildGclBase	buildGclBase	log	6.14e-06	162754.8	32.1462632826206	1	parameterScaleUniform	-1;1		;
buildGsh	buildGsh	lin	6.14e-06	162754.8	1	0	parameterScaleUniform	-1;1		;
buildKeap1P62H	buildKeap1P62H	log	6.14e-06	162754.8	0.00620380673003985	1	parameterScaleUniform	-1;1		;
buildNrf2Base	buildNrf2Base	log	6.14e-06	162754.8	3.63379887281169	1	parameterScaleUniform	-1;1		;
buildSrxn1	buildSrxn1	log	6.14e-06	162754.8	0.0575586040665483	1	parameterScaleUniform	-1;1		;
buildmKeap1	buildmKeap1	log	6.14e-06	162754.8	1.05207616409765	1	parameterScaleUniform	-1;1		;
buildmKeap1Base	buildmKeap1Base	log	6.14e-06	162754.8	0.0939261350466873	1	parameterScaleUniform	-1;1		;
buildmP62	buildmP62	log	6.14e-06	162754.8	1.51646575071419	1	parameterScaleUniform	-1;1		;
buildmP62Base	buildmP62Base	log	6.14e-06	162754.8	0.281030515266892	1	parameterScaleUniform	-1;1		;
buildmSrxn1	buildmSrxn1	log	6.14e-06	162754.8	2.07910733670116	1	parameterScaleUniform	-1;1		;
buildmSrxn1Base	buildmSrxn1Base	log	6.14e-06	162754.8	0.135761387845523	1	parameterScaleUniform	-1;1		;
changeKeap1_ROS	changeKeap1_ROS	lin	6.14e-06	162754.8	0.001	0	parameterScaleUniform	-1;1		;
changeKeap1_ROSRM	changeKeap1_ROSRM	log	6.14e-06	162754.8	0.27730290156709	1	parameterScaleUniform	-1;1		;
const_NFE2L2	const_NFE2L2	log	6.14e-06	162754.8	0.943091665304495	1	parameterScaleUniform	-1;1		;
decayKeap1Nrf2	decayKeap1Nrf2	log	6.14e-06	162754.8	1.08458261139622	1	parameterScaleUniform	-1;1		;
degradGcl	degradGcl	log	6.14e-06	162754.8	0.506571457144787	1	parameterScaleUniform	-1;1		;
degradGsh	degradGsh	lin	6.14e-06	162754.8	1000	0	parameterScaleUniform	-1;1		;
degradKeap1	degradKeap1	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
degradKeap1P62	degradKeap1P62	log	6.14e-06	162754.8	0.443788596155734	1	parameterScaleUniform	-1;1		;
degradP62	degradP62	lin	6.14e-06	162754.8	0	0	parameterScaleUniform	-1;1		;
degradRM_DCF	degradRM_DCF	log	6.14e-06	162754.8	0.317105733827302	1	parameterScaleUniform	-1;1		;
degradRM_DEM	degradRM_DEM	log	6.14e-06	162754.8	18461.2332539066	1	parameterScaleUniform	-1;1		;
